GRIDCODE,Legend_fin
276,"Böhmische Masse - Pluton"                
2,"Talalluvionen"                           
297,"See, Moor, Vernässung"                   
10,"Löß,Lößlehm"                             
259,"Böhmische Masse"                         
251,"Böhmische Masse, Mylonit"                
24,"Quartäre Terassensedimente"              
37,"Böhmische Masse, autochtone Bedeckung"   
39,"Molasse i.A."                            
1,"Anthropogene Ablagerungen"               
58,"Molasse, älterer-, Zellerndorfer Schlier"
104,"Inneralpines Neogen"                     
86,"Waschbergzone"                           
230,"Zentralalpines Permomesozoikum"          
239,"Kristallin i.A."                         
179,"Oberostalpin, Mergel"                    
191,"Oberostalpin, Kalke"                     
35,"Hangschutt, glaziale Ablagerungen"       
126,"Flyschzone"                              
120,"Klippenzonen"         
