lithologie	leg_litho	class
Amphibolit, Eklogit	113	8
Anthropogene Ablagerungen	2	0
Bergsturzblockwerk	9	4
Brekzie, Konglomerat	101	5
Diabas, Gruenschiefer	122	8
Diorit Tonalit	117	8
Dolomit	105	7
Gabbro	118	8
Ganggestein	114	8
Gletscher	931	0
Glimmerschiefer bis Paragneis	112	6
Granit Orthogneis	119	8
Hangschutt und Hangbrekzien, Muren	8	2
Hochterrasse, meist mit Loess/Staublehmdecke	17	2
Junge Talboeden, Auzonen Wildbachschutt	4	1
Kalk, Schiefer, Sandstein	106	5
Kalkglimmerschiefer, Kalksilikatgneis	111	6
Kalkphyllit, Kalkschiefer	107	6
Kalksandstein, Kalktuff, Rauhwacke	102	7
Kalkstein	103	7
Kalksteine (Neogen), Kalktuffe (Quartaer i.A.)	26	7
Konglomerate (Neogen)	21	5
Konglomerate (Quartaer i.A.)	10	5
Lehm	7	3
Marmor	115	7
Migmatit	116	8
Moraenen, Moraenenstreu (Pleistozaen bis Holozaen)	14	2
Niederterrasse mit spaetglazielen Terrassen	12	2
periglazialer Schuttstrom, Solifkutionsdecken, Block	11	2
Phyllit, Schiefer, Phyllonit, Leukophyllit	109	6
Quartaer i.A.	1	2
Quarzit	108	8
Radiolarit	110	5
Rotlehm	25	3
Rutsch- und Sackungsmassen, Gleitschollen	6	4
Sandstein, Siltstein, Tonstein, Gips	100	5
Schotter, Blockschotter (Neogen)	20	2
Schotterterrassen fraglichen Alters (Pliozaen-Pleisto)	19	2
Schwemmkegel und Schwemmfaecher	5	1
Seeablagerungen, Deltas	15	0
Seen, Gewaesser	930	0
Serpentinit	123	8
Ton, Mergel, z.T.Sand und Kiese (Neogen)	24	3
Ton, Sand und Kies (Palaeogen-Neogen)	22	3
Ton, Sand und Kies mit Kohle (Palaeogen-Neogen)	23	3
Tuff, Tuffit, Vulkanit i.a.	120	8
Vernaessung, Sumpf, Moor	3	0
Vorstossschotter, Sander, Eisrandterrassen	13	2
wuermeiszeitliche Ablagerungen	16	2
unbekannt	104	0
